,genes,pagerank
5088,Coq10a,-4.86E-07
5089,Nabp2,-6.54E-06
5090,Rnf41,-3.24E-05
5091,Smarcc2,7.54E-05
5092,Myl6,3.48E-05
5093,Esyt1,2.50E-05
5094,Zc3h10,2.47E-05
5095,Rpl41,-4.38E-05
5096,Pa2g4,-8.22E-05
5097,Rps26,4.54E-05
5098,Ikzf4,-2.69E-06
5099,Suox,-4.91E-05
5100,Rab5b,1.48E-05
5101,Cdk2,-9.08E-06
5102,Dgka,-4.50E-05
5103,Pym1,-0.000108734
5104,Mmp19,1.86E-05
5105,Tmem198b,4.21E-05
5106,Dnajc14,4.51E-06
5107,Ormdl2,5.80E-05
5108,Sarnp,0.000102995
5109,Cd63,2.29E-05
5110,Bloc1s1,-0.00010767
5111,Insr,4.92E-06
5112,A430078G23Rik,3.93E-05
5113,Arhgef18,8.34E-06
5114,Pex11g,-1.20E-05
5115,Zfp358,2.06E-05
5116,Mcoln1,4.26E-06
5117,Pnpla6,3.04E-05
5118,Xab2,-1.95E-05
5119,Pet100,-1.11E-05
5120,Stxbp2,-1.07E-05
5121,Mcemp1,-0.000108734
5122,Fcor,3.00E-05
5123,Trappc5,-1.00E-05
5124,Fcer2a,6.31E-05
5125,Cd209a,-8.65E-05
5126,Map2k7,6.16E-05
5127,Snapc2,-6.15E-06
5128,Timm44,-3.03E-05
5129,Elavl1,8.61E-05
5130,Ccl25,-3.50E-06
5131,Cers4,-5.54E-05
5132,Efnb2,1.00E-05
5133,Arglu1,6.47E-05
5134,Abhd13,3.86E-05
5135,Tnfsf13b,-3.90E-05
5136,Irs2,6.21E-06
5137,Col4a1,-8.30E-05
5138,Col4a2,-1.69E-05
5139,Rab20,-9.42E-06
5140,Cars2,3.57E-05
5141,Ing1,9.32E-06
5142,Ankrd10,8.86E-05
5143,Arhgef7,-3.90E-05
5144,Tubgcp3,-7.02E-05
5145,Atp11a,6.78E-05
5146,Mcf2l,-1.29E-05
5147,F10,2.20E-05
5148,Pcid2,3.91E-06
5149,Cul4a,-9.47E-06
5150,Lamp1,-2.40E-05
5151,Dcun1d2,-6.23E-05
5152,Tmco3,-2.20E-05
5153,Gas6,-2.54E-05
5154,Rasa3,1.09E-05
5155,Cdc16,-3.55E-05
5156,Upf3a,-7.00E-05
5157,Champ1,5.59E-05
5158,Coprs,3.36E-05
5159,Fbxo25,4.30E-06
5160,Tdrp,-9.93E-05
5161,Erich1,2.62E-05
5162,Cln8,8.16E-06
5163,Arhgef10,-8.04E-07
5164,Kbtbd11,4.63E-06
5165,Angpt2,-0.000107617
5166,Agpat5,8.38E-06
5167,Alg11,1.72E-05
5168,Vps36,-4.01E-05
5169,Thsd1,1.56E-05
5170,Slc25a15,3.57E-05
5171,Mrps31,4.07E-05
5172,Smim19,4.31E-05
5173,Slc20a2,1.22E-05
5174,Vdac3,-1.80E-05
5175,Polb,-2.30E-05
5176,Ikbkb,3.77E-05
5177,Plat,-5.79E-05
5178,Ap3m2,4.78E-05
5179,Kat6a,5.86E-05
5180,Gpat4,-0.000108734
5181,Gins4,-4.78E-06
5182,Golga7,-2.86E-05
5183,Sfrp1,-0.000120903
5184,Adam9,3.56E-05
5185,Tm2d2,1.63E-05
5186,Plekha2,1.58E-05
5187,Tacc1,1.06E-05
5188,Fgfr1,1.61E-05
5189,Plpp5,-0.000108734
5190,Ddhd2,-1.86E-05
5191,Bag4,1.09E-05
5192,Lsm1,-1.91E-05
5193,Ash2l,2.34E-05
5194,Hgsnat,-3.46E-05
5195,Fnta,1.88E-05
5196,Hook3,-1.86E-05
5197,Rnf170,3.42E-05
5198,Thap1,1.56E-05
5199,Zfp703,9.90E-06
5200,Erlin2,6.31E-07
5201,Adgra2,-0.000108734
5202,Rab11fip1,-9.10E-05
5203,Eif4ebp1,1.04E-05
5204,Rnf122,-4.26E-05
5205,Tti2,1.58E-06
5206,Mak16,0.000111871
5207,Fut10,-2.69E-06
5208,Wrn,4.51E-05
5209,Ppp2cb,8.30E-05
5210,Ubxn8,9.47E-05
5211,Gsr,8.19E-07
5212,Gtf2e2,-1.70E-05
5213,Rbpms,-7.83E-06
5214,Dctn6,-1.98E-05
5215,Leprotl1,2.13E-05
5216,Saraf,-0.000108734
5217,Eri1,-4.35E-05
5218,Mfhas1,1.48E-06
5219,Lonrf1,-1.90E-05
5220,Dlc1,1.18E-05
5221,Tusc3,-4.35E-05
5222,Msr1,-6.47E-05
5223,Micu3,2.71E-05
5224,Cnot7,-6.09E-05
5225,Vps37a,9.83E-05
5226,Slc7a2,-4.61E-05
5227,Pdgfrl,-0.000134506
5228,Mtus1,1.92E-05
5229,Pcm1,7.81E-05
5230,Asah1,-0.00012809
5231,Frg1,-2.72E-05
5232,Fat1,5.67E-05
5233,Cyp4v3,5.60E-05
5234,Fam149a,8.01E-07
5235,Tlr3,-7.56E-05
5236,Pdlim3,-0.000154937
5237,Ufsp2,-1.41E-05
5238,Ankrd37,-1.45E-05
5239,Snx25,8.90E-05
5240,Cfap97,-0.000108734
5241,Slc25a4,-6.77E-05
5242,Acsl1,-1.36E-05
5243,Irf2,3.12E-05
5244,Stox2,1.56E-05
5245,Trappc11,6.90E-05
5246,Rwdd4a,-2.08E-05
5247,Ing2,-3.95E-05
5248,Cdkn2aip,-2.56E-05
5249,Wwc2,-9.47E-06
5250,Aga,-7.67E-05
5251,Vegfc,-1.46E-05
5252,Spcs3,9.86E-06
5253,Gpm6a,-1.49E-05
5254,Hpgd,2.40E-05
5255,Cep44,-5.74E-06
5256,Fbxo8,9.71E-06
5257,Sap30,4.16E-05
5258,Hmgb2,0.000139044
5259,Galnt7,6.52E-07
5260,Clcn3,-4.30E-05
5261,Nek1,1.02E-05
5262,Sh3rf1,7.15E-05
5263,Cbr4,1.53E-05
5264,Palld,-2.96E-05
5265,Cpe,2.80E-05
5266,Msmo1,-0.000108734
5267,Klhl2,5.92E-06
5268,Tmem192,8.30E-07
5269,Tma16,-3.91E-05
5270,Npy1r,2.56E-05
5271,Naf1,3.04E-05
5272,Psd3,3.35E-05
5273,Sh2d4a,2.67E-05
5274,Csgalnact1,-3.96E-05
5275,Ints10,-6.57E-06
5276,Lpl,-1.82E-05
5277,Atp6v1b2,0.000117425
5278,Zfp868,-1.75E-05
5279,Atp13a1,-4.51E-05
5280,Gmip,1.51E-05
5281,Ndufa13,-2.32E-06
5282,Gatad2a,-1.94E-05
5283,Mau2,2.33E-05
5284,Sugp1,2.01E-05
5285,Rfxank,8.17E-06
5286,Nr2c2ap,-1.13E-05
5287,Borcs8,-0.000108734
5288,Tmem161a,-1.64E-05
5289,Sugp2,1.29E-05
5290,Homer3,1.38E-05
5291,Ddx49,2.51E-05
5292,Cope,-0.000102517
5293,Upf1,4.98E-05
5294,Crtc1,-2.44E-05
5295,Klhl26,-4.53E-06
5296,Crlf1,2.50E-05
5297,Uba52,-8.14E-05
5298,Kxd1,-7.63E-05
5299,Fkbp8,8.02E-06
5300,Ell,-1.13E-05
5301,Isyna1,2.35E-05
5302,Ssbp4,-2.74E-05
5303,Lrrc25,-0.000176968
5304,Gdf15,-8.25E-05
5305,Pgpep1,8.18E-06
5306,Lsm4,2.12E-05
5307,Jund,9.92E-05
5308,Gm3336,5.25E-05
5309,Rab3a,3.66E-05
5310,Mpv17l2,-0.000149123
5311,Ifi30,-4.15E-05
5312,Pik3r2,-1.83E-05
5313,2010320M18Rik,-0.000108734
5314,Mast3,1.57E-05
5315,Arrdc2,1.03E-05
5316,Ccdc124,1.45E-05
5317,Rpl18a,2.67E-05
5318,Map1s,-2.34E-05
5319,Haus8,3.74E-05
5320,Myo9b,3.73E-05
5321,Use1,-3.50E-05
5322,Ocel1,4.34E-06
5323,Nr2f6,6.44E-06
5324,Ushbp1,2.25E-05
5325,Babam1,-1.89E-06
5326,Abhd8,1.69E-05
5327,Mrpl34,-6.03E-05
5328,Dda1,2.43E-05
5329,Gtpbp3,1.17E-06
5330,Plvap,-1.40E-05
5331,Bst2,0.000109572
5332,Mvb12a,-2.13E-07
5333,Slc27a1,2.45E-05
5334,Pgls,-1.16E-05
5335,Colgalt1,-2.41E-06
5336,Jak3,2.00E-05
5337,Zfp617,2.22E-05
5338,Cyp4f18,1.14E-05
5339,Tpm4,6.08E-05
5340,Rab8a,5.50E-05
5341,Fam32a,-2.52E-05
5342,Ap1m1,1.05E-05
5343,Klf2,1.12E-05
5344,Eps15l1,5.65E-06
5345,Cherp,5.42E-05
5346,Slc35e1,0.000104399
5347,Med26,-2.55E-06
5348,Smim7,-1.61E-05
5349,Tmem38a,2.39E-06
5350,Sin3b,-3.17E-05
5351,Hmgxb4,3.83E-05
5352,Tom1,4.99E-05
5353,Hmox1,-7.64E-05
5354,Mcm5,-8.26E-06
5355,Arhgap10,1.24E-05
5356,Tmem184c,-2.62E-06
5357,Ednra,-6.50E-05
5358,Rbmxl1,3.16E-05
5359,Slc10a7,8.11E-06
5360,Lsm6,3.61E-05
5361,Mmaa,-6.16E-08
5362,Smad1,-4.61E-06
5363,Otud4,8.29E-05
5364,Abce1,-2.22E-05
5365,Anapc10,1.02E-05
5366,Smarca5,7.92E-05
5367,Gab1,4.16E-05
5368,Usp38,-9.25E-06
5369,Inpp4b,5.56E-05
5370,Il15,4.24E-05
5371,Zfp330,-6.18E-05
5372,Rnf150,-2.80E-05
5373,Tbc1d9,-4.82E-05
5374,Scoc,-2.06E-05
5375,Ndufb7,-3.00E-05
5376,Tecr,-2.47E-05
5377,Dnajb1,1.81E-05
5378,Gipc1,7.61E-06
5379,Pkn1,2.08E-05
5380,Ddx39,6.89E-06
5381,Adgre5,-0.000108734
5382,Adgrl1,-0.000108734
5383,Prkaca,-1.99E-05
5384,Samd1,3.61E-05
5385,Il27ra,-7.27E-05
5386,Rfx1,7.74E-06
5387,Dcaf15,1.74E-05
5388,Cc2d1a,8.21E-06
5389,Zswim4,2.42E-05
5390,D8Ertd738e,-8.10E-06
5391,Mri1,1.32E-05
5392,Ccdc130,1.77E-05
5393,Ier2,-8.44E-05
5394,Nacc1,6.51E-06
5395,Trmt1,5.96E-05
5396,Nfix,1.33E-05
5397,Lyl1,2.58E-05
5398,Dand5,-0.000170202
5399,Gadd45gip1,6.26E-06
5400,Rad23a,-0.000116051
5401,Calr,1.66E-06
5402,Farsa,2.44E-06
5403,Syce2,1.27E-05
5404,Gcdh,1.92E-05
5405,Dnase2a,-9.75E-05
5406,Rnaseh2a,1.64E-05
5407,Prdx2,-4.21E-05
5408,Junb,-3.83E-05
5409,Asna1,7.46E-06
5410,Tnpo2,1.73E-05
5411,Fbxw9,4.24E-06
5412,Dhps,5.15E-05
5413,Wdr83,4.01E-05
5414,Wdr83os,-0.000108734
5415,Man2b1,-4.34E-06
5416,Vps35,5.61E-06
5417,Orc6,5.60E-05
5418,4921524J17Rik,6.82E-05
5419,Dnaja2,-1.47E-05
5420,Itfg1,-7.38E-05
5421,Phkb,-8.57E-05
5422,Lonp2,-0.000128039
5423,Siah1a,2.30E-05
5424,N4bp1,3.79E-05
5425,Cnep1r1,-3.64E-05
5426,Heatr3,-1.88E-06
5427,Adcy7,9.87E-05
5428,Brd7,0.000150827
5429,Nkd1,4.62E-05
5430,Snx20,-3.41E-05
5431,Cyld,-2.62E-05
5432,Chd9,7.30E-05
5433,Rbl2,-7.12E-05
5434,Aktip,3.98E-05
5435,Fto,7.03E-05
5436,Irx3,-3.01E-05
5437,Mmp2,-3.47E-05
5438,Lpcat2,3.89E-06
5439,Ces1d,3.27E-05
5440,Amfr,0.000108854
5441,Nudt21,-8.66E-06
5442,Ogfod1,7.23E-05
5443,Bbs2,4.65E-05
5444,Mt2,0.00014561
5445,Mt1,-6.34E-05
5446,Nup93,3.30E-05
5447,Herpud1,-4.81E-05
5448,Nlrc5,-9.44E-05
5449,Cpne2,1.88E-05
5450,Fam192a,-9.22E-05
5451,Rspry1,7.52E-05
5452,Arl2bp,-5.61E-06
5453,Pllp,4.15E-05
5454,Cx3cl1,1.76E-05
5455,Ciapin1,1.03E-05
5456,Coq9,9.19E-06
5457,Polr2c,8.20E-07
5458,Dok4,5.87E-05
5459,Ccdc102a,1.39E-05
5460,Adgrg1,-0.000108734
5461,Katnb1,3.36E-05
5462,Kifc3,1.43E-05
5463,Usb1,3.83E-05
5464,Mmp15,7.78E-05
5465,Cfap20,-0.000108734
5466,Csnk2a2,7.04E-05
5467,Setd6,2.88E-05
5468,Cnot1,1.94E-05
5469,Slc38a7,3.80E-06
5470,Got2,-7.72E-05
5471,Cdh11,9.65E-06
5472,Cdh5,4.27E-05
5473,Tk2,2.25E-05
5474,Cklf,1.34E-05
5475,Cmtm3,1.76E-05
5476,Cmtm4,1.68E-05
5477,Dync1li2,-5.10E-05
5478,Nae1,-8.40E-05
5479,Rrad,-0.000110063
5480,Ces2g,-0.000205818
5481,Cbfb,4.19E-05
5482,D230025D16Rik,1.28E-05
5483,B3gnt9,3.49E-05
5484,Tradd,3.94E-06
5485,Fbxl8,4.09E-05
5486,Hsf4,9.85E-06
5487,Nol3,1.41E-05
5488,4931428F04Rik,-1.87E-05
5489,Exoc3l,3.74E-05
5490,E2f4,-2.29E-05
5491,Tmem208,-8.58E-05
5492,Fhod1,-1.03E-05
5493,Tppp3,-1.96E-05
5494,Zdhhc1,-1.97E-05
5495,Atp6v0d1,-0.000107019
5496,Gm5914,-3.39E-05
5497,Ctcf,1.65E-05
5498,Acd,1.45E-05
5499,Pard6a,6.79E-05
5500,Gfod2,3.50E-05
5501,Ranbp10,3.23E-05
5502,Cenpt,-2.07E-06
5503,Thap11,-1.12E-05
5504,Nutf2,9.50E-06
5505,Edc4,-2.87E-06
5506,Pskh1,1.29E-05
5507,Psmb10,5.45E-05
5508,Slc12a4,4.97E-06
5509,Dpep2,-2.47E-05
5510,Dus2,-0.000108734
5511,Ddx28,2.61E-05
5512,Nfatc3,8.98E-05
5513,Pla2g15,-4.99E-05
5514,Slc7a6,1.39E-05
5515,Slc7a6os,1.11E-05
5516,Prmt7,3.29E-05
5517,Chtf8,-4.24E-05
5518,Sntb2,1.50E-05
5519,Vps4a,-3.02E-05
5520,Cog8,6.44E-06
5521,Nip7,2.85E-05
5522,Terf2,1.73E-05
5523,Cyb5b,9.76E-05
5524,Nfat5,1.10E-05
5525,Nob1,8.79E-06
5526,Wwp2,7.43E-05
5527,Psmd7,9.98E-05
5528,Zfhx3,9.06E-05
5529,Dhx38,2.91E-05
5530,Hp,-3.80E-06
5531,Dhodh,1.57E-05
5532,Ist1,-3.01E-05
5533,Zfp821,-8.20E-06
5534,Atxn1l,2.67E-05
5535,Ap1g1,4.31E-05
5536,Phlpp2,-6.85E-05
5537,Vac14,4.13E-05
5538,Mtss1l,-7.83E-05
5539,Sf3b3,-5.95E-06
5540,Cog4,-4.21E-05
5541,St3gal2,1.73E-05
5542,Ddx19a,-7.12E-06
5543,Ddx19b,-1.87E-05
5544,Aars,5.48E-05
5545,Glg1,-1.83E-05
5546,Rfwd3,5.35E-06
5547,Mlkl,-6.67E-05
5548,Znrf1,2.03E-06
5549,Zfp1,1.44E-05
5550,Bcar1,-4.52E-06
5551,Cfdp1,-1.94E-05
5552,Gabarapl2,-0.000102057
5553,Kars,7.17E-06
5554,Terf2ip,7.07E-05
5555,Gm6793,-0.000301601
5556,Nudt7,4.05E-05
5557,Wwox,3.26E-05
5558,Maf,3.32E-05
5559,Cdyl2,4.20E-05
5560,Cmc2,1.33E-05
5561,Atmin,2.69E-05
5562,Gcsh,3.29E-05
5563,Gan,1.78E-05
5564,Cmip,-9.36E-05
5565,Plcg2,-0.000110109
5566,Mphosph6,-4.89E-05
5567,Cdh13,-3.29E-05
5568,Hsbp1,-4.52E-05
5569,Mlycd,1.36E-05
5570,Osgin1,-7.04E-05
5571,Mbtps1,7.22E-05
5572,Hsdl1,1.60E-05
5573,Taf1c,4.66E-05
5574,Wfdc1,-1.52E-05
5575,Cotl1,3.88E-05
5576,Klhl36,1.39E-05
5577,Usp10,2.23E-05
5578,Crispld2,1.67E-05
5579,Zdhhc7,3.73E-05
5580,6430548M08Rik,9.97E-06
5581,Gse1,-1.61E-06
5582,Emc8,3.95E-05
5583,Cox4i1,3.10E-05
5584,Irf8,-0.000105899
5585,Foxf1,2.08E-05
5586,Mthfsd,4.54E-05
5587,Fbxo31,-1.26E-05
5588,Map1lc3b,-6.97E-05
5589,Zcchc14,4.27E-05
5590,Klhdc4,8.91E-06
5591,Slc7a5,4.74E-06
5592,Banp,6.99E-06
5593,Zc3h18,-4.67E-05
5594,Cyba,2.48E-05
5595,Mvd,0.000138371
5596,Rnf166,-1.46E-05
5597,Ctu2,7.61E-06
5598,Piezo1,-7.99E-06
5599,Cdt1,4.62E-05
5600,Aprt,1.28E-05
5601,Galns,1.35E-05
5602,Trappc2l,-1.31E-06
5603,Cbfa2t3,8.62E-06
5604,Acsf3,8.95E-06
5605,Ankrd11,0.000116378
5606,Spg7,1.05E-05
5607,Rpl13,-2.78E-05
5608,Sult5a1,-0.000172271
5609,Dpep1,1.52E-05
5610,Chmp1a,-1.81E-06
5611,Cdk10,3.63E-05
5612,Vps9d1,2.32E-05
5613,Tcf25,-6.80E-06
5614,Def8,-6.42E-06
5615,Afg3l1,1.60E-05
5616,Gas8,1.05E-05
5617,Rab4a,2.74E-05
5618,Nup133,2.79E-05
5619,Abcb10,-4.56E-05
5620,Taf5l,3.13E-05
5621,Cog2,9.57E-05
5622,2310022B05Rik,-1.96E-05
5623,Ttc13,-3.02E-06
5624,2810004N23Rik,-0.000113057
5625,Gnpat,-5.38E-05
5626,Exoc8,-3.54E-05
5627,Egln1,6.68E-05
5628,Tsnax,-2.49E-05
5629,Sipa1l2,3.49E-05
5630,Ntpcr,2.26E-05
5631,Coa6,2.38E-05
5632,Irf2bp2,8.49E-05
5633,Tomm20,-7.19E-05
5634,Rbm34,7.41E-06
5635,Pard3,0.000107924
5636,Nrp1,-1.36E-05
5637,Itgb1,2.74E-05
5638,2610044O15Rik8,-5.85E-05
5639,Flnb,-2.19E-05
5640,Abhd6,5.04E-05
5641,Rpp14,-0.000108734
5642,Pxk,2.42E-06
5643,Pdhb,-1.09E-05
5644,Kctd6,1.37E-05
5645,Fhit,2.99E-05
5646,Ptprg,2.22E-05
5647,3830406C13Rik,2.75E-05
5648,Thoc7,-4.18E-05
5649,Atxn7,0.00014459
5650,Psmd6,-1.69E-05
5651,Il3ra,-8.09E-06
5652,Slc4a7,2.02E-05
5653,Ngly1,1.77E-06
5654,Top2b,1.51E-05
5655,Nr1d2,-7.79E-05
5656,Rpl15,-2.99E-05
5657,Nkiras1,1.31E-05
5658,Ube2e1,-6.39E-05
5659,Ube2e2,1.97E-05
5660,Gng2,-3.57E-05
5661,Saysd1,-2.92E-06
5662,Kcnk5,1.32E-05
5663,Nudt13,1.34E-05
5664,Ecd,3.66E-06
5665,Fam149b,1.22E-05
5666,Dnajc9,-2.33E-05
5667,Mrps16,-7.99E-06
5668,Anxa7,0.000133808
5669,Ppp3cb,7.10E-05
5670,Usp54,-8.72E-06
5671,Sec24c,-3.66E-05
5672,Fut11,-1.13E-05
5673,Chchd1,2.92E-05
5674,Zswim8,-4.30E-05
5675,Ndst2,5.14E-05
5676,Camk2g,-1.22E-06
5677,Vcl,-5.83E-05
5678,Ap3m1,1.39E-05
5679,Adk,6.07E-06
5680,Kat6b,1.11E-05
5681,Samd8,-6.24E-05
5682,Vdac2,-9.40E-05
5683,Comtd1,-5.04E-05
5684,Zfp503,5.54E-05
5685,Rps24,0.000105551
5686,Zmiz1,7.37E-05
5687,Ppif,-1.45E-05
5688,Zcchc24,1.62E-05
5689,Anxa11,-0.000152129
5690,Plac9b,-0.000108734
5691,Slmap,0.00010052
5692,Dennd6a,6.60E-06
5693,Arf4,6.13E-05
5694,Pde12,1.99E-05
5695,Appl1,5.11E-06
5696,Il17rd,-6.15E-05
5697,Arhgef3,1.60E-05
5698,Fam208a,-0.000108734
5699,Ccdc66,7.49E-06
5700,Actr8,4.99E-05
5701,Cacna1d,-4.36E-06
5702,Dcp1a,7.43E-06
5703,Tkt,7.79E-05
5704,Prkcd,1.93E-06
5705,Rft1,-4.49E-05
5706,Sfmbt1,3.00E-06
5707,Tmem110,-1.62E-05
5708,Mustn1,1.61E-05
5709,Itih4,-1.77E-05
5710,Spcs1,1.30E-05
5711,Glt8d1,1.88E-05
5712,Gnl3,5.11E-05
5713,Pbrm1,0.000163018
5714,Smim4,6.60E-06
5715,Nt5dc2,4.13E-05
5716,Stab1,1.59E-05
5717,Nisch,5.82E-05
5718,Sema3g,-7.24E-05
5719,Phf7,3.50E-05
5720,Bap1,1.22E-05
5721,Capn7,-1.81E-05
5722,Sh3bp5,-8.80E-06
5723,Mettl6,-2.25E-05
5724,Eaf1,3.96E-05
5725,Hacl1,-2.60E-05
5726,Btd,-1.37E-05
5727,Galnt15,-1.27E-05
5728,Dph3,-4.94E-05
5729,Oxnad1,-9.05E-07
5730,Ncoa4,-2.96E-05
5731,Timm23,4.29E-05
5732,Parg,-5.54E-06
5733,Vstm4,-8.71E-05
5734,Wdfy4,-7.95E-05
5735,Mapk8,1.03E-05
5736,Gdf10,-2.69E-06
5737,Anxa8,3.48E-06
5738,Glud1,3.44E-05
5739,Sncg,-5.73E-05
5740,Mmrn2,-6.76E-05
5741,Bmpr1a,6.11E-06
5742,Wapl,-0.000108734
5743,Ccser2,-2.25E-05
5744,Ghitm,4.16E-05
5745,Tspan14,1.34E-05
5746,Fam213a,-2.30E-05
5747,Ear2,-1.41E-05
5748,Txndc16,-3.65E-05
5749,Ero1l,-2.59E-07
5750,Psmc6,-8.47E-06
5751,Gnpnat1,-6.06E-06
5752,Fermt2,2.95E-05
5753,Ddhd1,0.000125213
5754,Bmp4,9.32E-05
5755,Cnih1,8.23E-05
5756,Gmfb,1.68E-05
5757,Cgrrf1,-1.28E-05
5758,Samd4,3.97E-05
5759,Gm10371,-2.69E-06
5760,Gch1,3.88E-05
5761,Wdhd1,-2.33E-05
5762,Socs4,-2.22E-06
5763,Mapk1ip1l,4.22E-05
5764,Lgals3,-9.29E-05
5765,Fbxo34,8.60E-06
5766,Atg14,5.38E-06
5767,Ktn1,0.000117111
5768,Peli2,-1.53E-05
5769,Tmem260,2.18E-05
5770,Exoc5,5.13E-05
5771,Naa30,5.51E-05
5772,Ttc5,-1.20E-06
5773,Parp2,7.24E-05
5774,Tep1,1.80E-05
5775,Osgep,7.77E-06
5776,Apex1,-3.00E-05
5777,Pnp,-1.04E-05
5778,Pnp2,-2.85E-06
5779,Rnase4,7.24E-06
5780,Ang,-4.04E-05
5781,Rnase6,2.19E-05
5782,Mettl17,5.21E-06
5783,Ndrg2,-4.41E-05
5784,Arhgef40,-1.53E-05
5785,Zfp219,7.04E-06
5786,Hnrnpc,4.90E-05
5787,Rpgrip1,-1.11E-06
5788,Supt16,-2.60E-05
5789,Chd8,-4.34E-05
5790,Rab2b,4.71E-05
5791,Tox4,-5.18E-05
5792,Mettl3,1.29E-05
5793,Dad1,2.54E-05
5794,Abhd4,4.73E-06
5795,Oxa1l,3.24E-05
5796,Slc7a7,-5.48E-05
5797,Mrpl52,4.52E-05
5798,Mmp14,8.95E-06
5799,Lrp10,5.61E-05
5800,Prmt5,-5.05E-05
5801,Haus4,1.77E-05
5802,Ajuba,7.94E-06
5803,Psmb5,0.000130476
5804,Acin1,4.30E-05
5805,1700123O20Rik,1.09E-05
5806,Bcl2l2,4.17E-05
5807,Pabpn1,2.32E-05
5808,Slc22a17,9.76E-06
5809,Efs,3.40E-05
5810,Ngdn,6.88E-05
5811,Thtpa,-0.000107617
5812,Zfhx2,-6.29E-05
5813,Ap1g2,-4.54E-05
5814,Dhrs4,-2.54E-05
5815,Pck2,1.99E-05
5816,Dcaf11,-6.56E-06
5817,Psme1,3.27E-05
5818,Emc9,1.58E-05
5819,Psme2,-2.64E-05
5820,Rnf31,8.96E-05
5821,Irf9,-2.25E-05
5822,Ipo4,2.96E-05
5823,Mdp1,2.41E-05
5824,Nedd8,7.86E-05
5825,Gmpr2,-5.56E-06
5826,Tinf2,8.36E-05
5827,Rabggta,3.30E-06
5828,Dhrs1,2.35E-05
5829,Nop9,8.11E-06
5830,Ltb4r1,6.01E-07
5831,Adcy4,1.05E-05
5832,Ripk3,-0.000135206
5833,Nynrin,-7.66E-05
5834,Sdr39u1,4.68E-05
5835,Gzmb,2.31E-05
5836,Parp4,5.89E-05
5837,Mphosph8,3.54E-05
5838,Pspc1,7.02E-05
5839,Zmym5,-3.21E-05
5840,2410022M11Rik,-0.000108734
5841,Zmym2,8.47E-05
5842,Cryl1,8.98E-05
5843,Ift88,-3.54E-06
5844,Il17d,-0.0004151
5845,Xpo4,2.93E-05
5846,Lats2,-2.59E-05
5847,Sap18,5.11E-06
5848,Mrpl57,-0.000108734
5849,Zdhhc20,-3.38E-05
5850,Micu2,3.60E-05
5851,Rcbtb1,4.82E-05
5852,Phf11b,2.40E-05
5853,Phf11d,7.30E-05
5854,Setdb2,1.69E-05
5855,Cab39l,-3.82E-06
5856,Cdadc1,9.73E-05
5857,Shisa2,-2.69E-06
5858,Mtmr6,-2.92E-05
5859,Spata13,6.74E-06
5860,Mipep,-3.35E-05
5861,Sacs,-0.000121652
5862,Ebpl,7.80E-06
5863,Kpna3,2.39E-05
5864,Spryd7,2.15E-07
5865,Trim13,3.42E-05
5866,Rnaseh2b,3.09E-05
5867,Ints6,1.51E-05
5868,Ctsb,3.89E-05
5869,Fdft1,0.000143393
5870,Blk,-0.000144458
5871,Pinx1,1.03E-05
5872,Sox7,-1.35E-05
5873,Msra,2.48E-05
5874,Hmbox1,3.79E-06
5875,Ints9,-2.33E-06
5876,Extl3,2.52E-05
5877,Zfp395,9.15E-05
5878,Elp3,1.50E-05
5879,Ccdc25,8.10E-06
5880,Scara3,-0.000228981
5881,Clu,-7.00E-05
5882,Ptk2b,1.24E-05
5883,Trim35,2.41E-05
5884,Dpysl2,-2.28E-05
5885,Bnip3l,-1.13E-05
5886,Ppp2r2a,-7.89E-05
5887,Kctd9,6.07E-06
5888,Dock5,3.52E-06
5889,Slc25a37,2.10E-05
5890,Loxl2,3.20E-05
5891,R3hcc1,1.16E-05
5892,Chmp7,4.69E-05
5893,Tnfrsf10b,4.17E-05
5894,Bin3,3.29E-06
5895,Ccar2,3.01E-05
5896,Pdlim2,-0.00015165
5897,Sorbs3,-7.03E-07
5898,Ppp3cc,2.80E-05
5899,Slc39a14,3.43E-05
5900,Polr3d,1.30E-06
5901,Bmp1,5.90E-05
5902,Sftpc,-1.67E-05
5903,Reep4,-5.57E-05
5904,Nudt18,2.72E-05
5905,Fam160b2,1.46E-05
5906,Dmtn,-0.000298138
5907,Xpo7,2.63E-05
5908,Dok2,2.12E-05
5909,Gfra2,-0.000186304
5910,Fndc3a,-5.36E-06
5911,Rcbtb2,6.43E-05
5912,Rb1,-3.49E-05
5913,Lpar6,6.69E-05
5914,Itm2b,3.46E-05
5915,Med4,3.38E-05
5916,Sucla2,6.05E-05
5917,Esd,7.97E-05
5918,Lrch1,6.63E-05
5919,Lcp1,7.24E-05
5920,Zc3h13,-1.71E-05
5921,Cog3,7.98E-06
5922,Tpt1,-1.18E-05
5923,Gtf2f2,3.45E-05
5924,Gpalpp1,1.66E-05
5925,Nufip1,2.63E-05
5926,Tsc22d1,9.87E-06
5927,Lacc1,1.21E-05
5928,Ccdc122,8.86E-05
5929,Dnajc15,-2.37E-06
5930,Epsti1,-4.06E-05
5931,Akap11,1.94E-05
5932,Vwa8,2.80E-05
5933,Rgcc,-9.72E-05
5934,Naa16,6.03E-05
5935,Kbtbd7,7.22E-05
5936,Wbp4,-1.41E-05
5937,Elf1,-9.24E-05
5938,Sugt1,2.70E-05
5939,Pcdh17,-6.42E-05
