,genes,pagerank
441,Sft2d2,6.07E-05
442,Tiprl,-3.65E-05
443,Dcaf6,5.57E-05
444,Mpc2,5.77E-05
445,Mpzl1,1.58E-05
446,Rcsd1,1.29E-05
447,Creg1,-9.68E-06
448,Cd247,-4.38E-05
449,Pou2f1,5.83E-06
450,Tada1,2.53E-05
451,Pogk,9.58E-07
452,Uck2,-5.38E-05
453,Tmco1,6.00E-06
454,Aldh9a1,-5.11E-06
455,Mgst3,-6.52E-05
456,Pbx1,7.80E-05
457,Rgs4,-0.000108482
458,Hsd17b7,0.000100488
459,Ddr2,2.89E-05
460,Uap1,-5.49E-05
461,Uhmk1,6.45E-05
462,Sh2d1b1,1.33E-05
463,Nos1ap,4.90E-05
464,Olfml2b,-9.14E-05
465,Atf6,3.89E-05
466,Dusp12,-8.06E-06
467,Fcrla,-5.79E-05
468,Fcgr2b,1.59E-05
469,Fcgr4,-8.21E-06
470,Fcgr3,2.24E-05
471,Sdhc,-7.74E-05
472,Pcp4l1,6.42E-05
473,Tomm40l,2.12E-05
474,Fcer1g,1.03E-05
475,Ndufs2,7.98E-05
476,B4galt3,4.30E-05
477,Ppox,4.08E-05
478,Usp21,-1.74E-05
479,Ufc1,-4.79E-06
480,Dedd,2.59E-05
481,Nit1,5.87E-05
482,Pfdn2,6.89E-05
483,Arhgap30,-4.59E-05
484,Usf1,-2.88E-06
485,F11r,-5.36E-05
486,Alyref2,-9.96E-06
487,Ly9,-4.21E-05
488,Slamf7,-6.17E-05
489,Cd48,2.96E-06
490,Slamf1,1.92E-05
491,Cd84,-8.90E-06
492,Slamf6,-3.95E-05
493,Vangl2,-3.71E-05
494,Ncstn,-2.99E-05
495,Copa,-5.22E-06
496,Pex19,1.35E-05
497,Dcaf8,-8.79E-06
498,Pea15a,-1.07E-05
499,Igsf8,6.42E-05
500,Atp1a2,-1.95E-05
501,Pigm,2.09E-05
502,Slamf9,-5.45E-05
503,Tagln2,4.62E-05
504,Dusp23,-9.70E-06
505,Aim2,1.96E-05
506,Ifi204,2.46E-05
507,Mndal,6.63E-05
508,Ifi203,2.40E-05
509,Ifi205,1.29E-05
510,Fh1,-9.32E-06
511,Cep170,-3.04E-05
512,Sdccag8,0.000132271
513,Akt3,1.36E-05
514,Zbtb18,1.16E-05
515,Adss,-6.84E-07
516,Desi2,1.16E-05
517,Cox20,-6.84E-06
518,Hnrnpu,0.000106139
519,Smyd3,4.33E-06
520,Tfb2m,4.71E-05
521,Cnst,-1.54E-06
522,Sccpdh,6.04E-05
523,Ahctf1,-3.77E-05
524,Cdc42bpa,0.000156248
525,Psen2,9.26E-05
526,Itpkb,1.83E-05
527,Parp1,-3.59E-05
528,Acbd3,1.31E-05
529,H3f3a,-9.82E-05
530,Sde2,4.04E-05
531,Pycr2,2.48E-05
532,Tmem63a,-4.17E-06
533,Ephx1,-7.77E-06
534,Nvl,1.63E-06
535,Cnih4,-2.97E-06
536,Wdr26,6.17E-06
537,Lbr,2.21E-05
538,Enah,1.60E-06
539,Srp9,5.47E-05
540,Degs1,-0.00010397
541,Fbxo28,-1.24E-05
542,Trp53bp2,1.43E-05
543,Capn2,-3.53E-05
544,Brox,1.41E-05
545,Aida,-6.73E-06
546,Mia3,3.79E-05
547,Dusp10,-0.000248668
548,Hlx,-3.66E-05
549,C130074G19Rik,2.12E-05
550,Rab3gap2,-1.31E-05
551,Iars2,5.36E-05
552,Bpnt1,4.64E-05
553,Eprs,-6.99E-06
554,Lyplal1,2.56E-05
555,Tgfb2,-2.26E-05
556,Rrp15,3.84E-05
557,Gpatch2,2.17E-06
558,Kctd3,-4.37E-05
559,Kcnk2,3.35E-05
560,Ptpn14,-1.31E-05
561,Smyd2,1.46E-05
562,Angel2,-6.85E-06
563,Tatdn3,2.61E-05
564,Batf3,4.07E-05
565,Fam71a,-2.69E-06
566,Atf3,-4.73E-05
