,genes,degree,pagerank
5169,Thsd1,0,5.07E-06
5170,Slc25a15,0,5.07E-06
5171,Mrps31,0,5.07E-06
5172,Smim19,0,5.07E-06
5173,Slc20a2,0,5.07E-06
5174,Vdac3,0,5.07E-06
5175,Polb,0,5.07E-06
5176,Ikbkb,0,5.07E-06
5177,Plat,0,5.07E-06
5178,Ap3m2,0,5.07E-06
5179,Kat6a,0,5.07E-06
5180,Gpat4,0,5.07E-06
5181,Gins4,0,5.07E-06
5182,Golga7,0,5.07E-06
5183,Sfrp1,0,5.07E-06
5184,Adam9,-90,0
5185,Tm2d2,-140,0
5186,Plekha2,0,5.07E-06
5187,Tacc1,0,5.07E-06
5188,Fgfr1,0,5.07E-06
5189,Plpp5,0,5.07E-06
5190,Ddhd2,0,5.07E-06
5191,Bag4,0,5.07E-06
5192,Lsm1,0,5.07E-06
5193,Ash2l,0,5.07E-06
5194,Hgsnat,0,5.07E-06
5195,Fnta,0,5.07E-06
5196,Hook3,0,5.07E-06
5197,Rnf170,0,5.07E-06
5198,Thap1,0,5.07E-06
5199,Zfp703,-143,0
5200,Erlin2,0,5.07E-06
5201,Adgra2,0,5.07E-06
5202,Rab11fip1,53,0
5203,Eif4ebp1,0,5.07E-06
5204,Rnf122,0,5.07E-06
5205,Tti2,0,5.07E-06
5206,Mak16,0,5.07E-06
5207,Fut10,0,5.07E-06
5208,Wrn,0,5.07E-06
5209,Ppp2cb,0,5.07E-06
5210,Ubxn8,0,5.07E-06
5211,Gsr,0,5.07E-06
5212,Gtf2e2,0,5.07E-06
5213,Rbpms,-27,-6.22E-05
5214,Dctn6,0,5.07E-06
5215,Leprotl1,0,5.07E-06
5216,Saraf,-115,0
5217,Eri1,0,5.07E-06
5218,Mfhas1,-2,5.14E-07
5219,Lonrf1,0,5.07E-06
5220,Dlc1,-40,-8.53E-05
5221,Tusc3,0,5.07E-06
5222,Msr1,24,0
5223,Micu3,0,5.07E-06
5224,Cnot7,0,5.07E-06
5225,Vps37a,0,5.07E-06
5226,Slc7a2,0,5.07E-06
5227,Pdgfrl,-1,0
5228,Mtus1,0,5.07E-06
5229,Pcm1,0,5.07E-06
5230,Asah1,-71,0
5231,Frg1,0,5.07E-06
5232,Fat1,0,5.07E-06
5233,Cyp4v3,0,5.07E-06
5234,Fam149a,0,5.07E-06
5235,Tlr3,0,5.07E-06
5236,Pdlim3,1,1.21E-05
5237,Ufsp2,0,5.07E-06
5238,Ankrd37,0,5.07E-06
5239,Snx25,-1,2.19E-06
5240,Cfap97,0,5.07E-06
5241,Slc25a4,52,0
5242,Acsl1,0,5.07E-06
5243,Irf2,0,5.07E-06
5244,Stox2,0,5.07E-06
5245,Trappc11,0,5.07E-06
5246,Rwdd4a,0,5.07E-06
5247,Ing2,0,5.07E-06
5248,Cdkn2aip,0,5.07E-06
5249,Wwc2,-19,-3.38E-05
5250,Aga,-1,2.69E-06
5251,Vegfc,0,5.07E-06
5252,Spcs3,0,5.07E-06
5253,Gpm6a,-159,0
5254,Hpgd,0,5.07E-06
5255,Cep44,0,5.07E-06
5256,Fbxo8,0,5.07E-06
5257,Sap30,0,5.07E-06
5258,Hmgb2,9,2.62E-05
5259,Galnt7,0,5.07E-06
5260,Clcn3,0,5.07E-06
5261,Nek1,0,5.07E-06
5262,Sh3rf1,0,5.07E-06
5263,Cbr4,0,5.07E-06
5264,Palld,9,6.70E-05
5265,Cpe,0,5.07E-06
5266,Msmo1,7,2.28E-05
5267,Klhl2,0,5.07E-06
5268,Tmem192,0,5.07E-06
5269,Tma16,0,5.07E-06
5270,Npy1r,0,5.07E-06
5271,Naf1,0,5.07E-06
5272,Psd3,0,5.07E-06
5273,Sh2d4a,-19,-3.87E-05
5274,Csgalnact1,-23,0
5275,Ints10,0,5.07E-06
5276,Lpl,0,5.07E-06
5277,Atp6v1b2,0,5.07E-06
5278,Zfp868,0,5.07E-06
5279,Atp13a1,0,5.07E-06
5280,Gmip,0,5.07E-06
5281,Ndufa13,-73,0
5282,Gatad2a,0,5.07E-06
5283,Mau2,0,5.07E-06
5284,Sugp1,0,5.07E-06
5285,Rfxank,0,5.07E-06
5286,Nr2c2ap,0,5.07E-06
5287,Borcs8,0,5.07E-06
5288,Tmem161a,0,5.07E-06
5289,Sugp2,0,5.07E-06
5290,Homer3,0,5.07E-06
5291,Ddx49,0,5.07E-06
5292,Cope,7,2.21E-05
5293,Upf1,0,5.07E-06
5294,Crtc1,0,5.07E-06
5295,Klhl26,0,5.07E-06
5296,Crlf1,11,5.38E-05
5297,Uba52,-10,-8.92E-05
5298,Kxd1,0,5.07E-06
5299,Fkbp8,-1,-3.60E-05
5300,Ell,0,5.07E-06
5301,Isyna1,0,5.07E-06
5302,Ssbp4,0,5.07E-06
5303,Lrrc25,0,5.07E-06
5304,Gdf15,0,5.07E-06
5305,Pgpep1,0,5.07E-06
5306,Lsm4,0,5.07E-06
5307,Jund,223,0
5308,Gm3336,0,5.07E-06
5309,Rab3a,0,5.07E-06
5310,Mpv17l2,0,5.07E-06
5311,Ifi30,-54,0
5312,Pik3r2,0,5.07E-06
5313,2010320M18Rik,0,5.07E-06
5314,Mast3,0,5.07E-06
5315,Arrdc2,0,5.07E-06
5316,Ccdc124,0,5.07E-06
5317,Rpl18a,76,-1.80E-06
5318,Map1s,0,5.07E-06
5319,Haus8,0,5.07E-06
5320,Myo9b,0,5.07E-06
5321,Use1,89,0
5322,Ocel1,0,5.07E-06
5323,Nr2f6,0,5.07E-06
5324,Ushbp1,1,0
5325,Babam1,0,5.07E-06
5326,Abhd8,0,5.07E-06
5327,Mrpl34,0,5.07E-06
5328,Dda1,0,5.07E-06
5329,Gtpbp3,0,5.07E-06
5330,Plvap,1,0
5331,Bst2,0,5.07E-06
5332,Mvb12a,0,5.07E-06
5333,Slc27a1,0,5.07E-06
5334,Pgls,-19,-5.31E-05
5335,Colgalt1,0,5.07E-06
5336,Jak3,0,5.07E-06
5337,Zfp617,0,5.07E-06
5338,Cyp4f18,24,0
5339,Tpm4,0,5.07E-06
5340,Rab8a,0,5.07E-06
5341,Fam32a,0,5.07E-06
5342,Ap1m1,0,5.07E-06
5343,Klf2,0,5.07E-06
5344,Eps15l1,0,5.07E-06
5345,Cherp,0,5.07E-06
5346,Slc35e1,0,5.07E-06
5347,Med26,0,5.07E-06
5348,Smim7,0,5.07E-06
5349,Tmem38a,0,5.07E-06
5350,Sin3b,0,5.07E-06
5351,Hmgxb4,0,5.07E-06
5352,Tom1,0,5.07E-06
5353,Hmox1,0,5.07E-06
5354,Mcm5,0,5.07E-06
5355,Arhgap10,0,5.07E-06
5356,Tmem184c,0,5.07E-06
5357,Ednra,34,0
5358,Rbmxl1,0,5.07E-06
5359,Slc10a7,0,5.07E-06
5360,Lsm6,0,5.07E-06
5361,Mmaa,0,5.07E-06
5362,Smad1,0,5.07E-06
5363,Otud4,0,5.07E-06
5364,Abce1,0,5.07E-06
5365,Anapc10,0,5.07E-06
5366,Smarca5,0,5.07E-06
5367,Gab1,0,5.07E-06
5368,Usp38,0,5.07E-06
5369,Inpp4b,0,5.07E-06
5370,Il15,0,5.07E-06
5371,Zfp330,0,5.07E-06
5372,Rnf150,0,5.07E-06
5373,Tbc1d9,0,5.07E-06
5374,Scoc,0,5.07E-06
5375,Ndufb7,0,5.07E-06
5376,Tecr,108,0
5377,Dnajb1,0,5.07E-06
5378,Gipc1,0,5.07E-06
5379,Pkn1,0,5.07E-06
5380,Ddx39,0,5.07E-06
5381,Adgre5,0,5.07E-06
5382,Adgrl1,0,5.07E-06
5383,Prkaca,0,5.07E-06
5384,Samd1,0,5.07E-06
5385,Il27ra,0,5.07E-06
5386,Rfx1,0,5.07E-06
5387,Dcaf15,0,5.07E-06
5388,Cc2d1a,0,5.07E-06
5389,Zswim4,0,5.07E-06
5390,D8Ertd738e,0,5.07E-06
5391,Mri1,0,5.07E-06
5392,Ccdc130,0,5.07E-06
5393,Ier2,135,0
5394,Nacc1,0,5.07E-06
5395,Trmt1,0,5.07E-06
5396,Nfix,0,5.07E-06
5397,Lyl1,9,8.60E-05
5398,Dand5,0,5.07E-06
5399,Gadd45gip1,0,5.07E-06
5400,Rad23a,0,5.07E-06
5401,Calr,0,5.07E-06
5402,Farsa,0,5.07E-06
5403,Syce2,0,5.07E-06
5404,Gcdh,0,5.07E-06
5405,Dnase2a,0,5.07E-06
5406,Rnaseh2a,0,5.07E-06
5407,Prdx2,-2,-1.55E-05
5408,Junb,0,5.07E-06
5409,Asna1,0,5.07E-06
5410,Tnpo2,0,5.07E-06
5411,Fbxw9,0,5.07E-06
5412,Dhps,0,5.07E-06
5413,Wdr83,0,5.07E-06
5414,Wdr83os,0,5.07E-06
5415,Man2b1,0,5.07E-06
5416,Vps35,0,5.07E-06
5417,Orc6,0,5.07E-06
5418,4921524J17Rik,-1,2.67E-06
5419,Dnaja2,0,5.07E-06
5420,Itfg1,0,5.07E-06
5421,Phkb,0,5.07E-06
5422,Lonp2,0,5.07E-06
5423,Siah1a,0,5.07E-06
5424,N4bp1,0,5.07E-06
5425,Cnep1r1,0,5.07E-06
5426,Heatr3,0,5.07E-06
5427,Adcy7,0,5.07E-06
5428,Brd7,0,5.07E-06
5429,Nkd1,0,5.07E-06
5430,Snx20,-10,0
5431,Cyld,0,5.07E-06
5432,Chd9,0,5.07E-06
5433,Rbl2,0,5.07E-06
5434,Aktip,0,5.07E-06
5435,Fto,0,5.07E-06
5436,Irx3,0,5.07E-06
5437,Mmp2,0,5.07E-06
5438,Lpcat2,0,5.07E-06
5439,Ces1d,13,-5.47E-05
5440,Amfr,-5,-6.47E-06
5441,Nudt21,0,5.07E-06
5442,Ogfod1,0,5.07E-06
5443,Bbs2,0,5.07E-06
5444,Mt2,0,5.07E-06
5445,Mt1,31,7.01E-05
5446,Nup93,0,5.07E-06
5447,Herpud1,18,-6.04E-05
5448,Nlrc5,-23,0
5449,Cpne2,0,5.07E-06
5450,Fam192a,0,5.07E-06
5451,Rspry1,0,5.07E-06
5452,Arl2bp,0,5.07E-06
5453,Pllp,-1,-6.47E-06
5454,Cx3cl1,0,5.07E-06
5455,Ciapin1,0,5.07E-06
5456,Coq9,0,5.07E-06
5457,Polr2c,0,5.07E-06
5458,Dok4,0,5.07E-06
5459,Ccdc102a,0,5.07E-06
5460,Adgrg1,0,5.07E-06
5461,Katnb1,0,5.07E-06
5462,Kifc3,0,5.07E-06
5463,Usb1,0,5.07E-06
5464,Mmp15,0,5.07E-06
5465,Cfap20,0,5.07E-06
5466,Csnk2a2,0,5.07E-06
5467,Setd6,0,5.07E-06
5468,Cnot1,0,5.07E-06
5469,Slc38a7,0,5.07E-06
5470,Got2,0,5.07E-06
5471,Cdh11,-1,3.29E-05
5472,Cdh5,-6,0
5473,Tk2,0,5.07E-06
5474,Cklf,0,5.07E-06
5475,Cmtm3,0,5.07E-06
5476,Cmtm4,0,5.07E-06
5477,Dync1li2,0,5.07E-06
5478,Nae1,0,5.07E-06
5479,Rrad,0,5.07E-06
5480,Ces2g,1,0
5481,Cbfb,0,5.07E-06
5482,D230025D16Rik,-1,1.96E-06
5483,B3gnt9,1,0
5484,Tradd,0,5.07E-06
5485,Fbxl8,0,5.07E-06
5486,Hsf4,0,5.07E-06
5487,Nol3,0,5.07E-06
5488,4931428F04Rik,0,5.07E-06
5489,Exoc3l,0,5.07E-06
5490,E2f4,0,5.07E-06
5491,Tmem208,0,5.07E-06
5492,Fhod1,0,5.07E-06
5493,Tppp3,-97,0
5494,Zdhhc1,0,5.07E-06
5495,Atp6v0d1,-8,-2.05E-05
5496,Gm5914,0,5.07E-06
5497,Ctcf,0,5.07E-06
5498,Acd,0,5.07E-06
5499,Pard6a,0,5.07E-06
5500,Gfod2,0,5.07E-06
5501,Ranbp10,0,5.07E-06
5502,Cenpt,-4,0
5503,Thap11,0,5.07E-06
5504,Nutf2,0,5.07E-06
5505,Edc4,0,5.07E-06
5506,Pskh1,0,5.07E-06
5507,Psmb10,0,5.07E-06
5508,Slc12a4,0,5.07E-06
5509,Dpep2,0,5.07E-06
5510,Dus2,0,5.07E-06
5511,Ddx28,0,5.07E-06
5512,Nfatc3,0,5.07E-06
5513,Pla2g15,0,5.07E-06
5514,Slc7a6,0,5.07E-06
5515,Slc7a6os,0,5.07E-06
5516,Prmt7,0,5.07E-06
5517,Chtf8,0,5.07E-06
5518,Sntb2,0,5.07E-06
5519,Vps4a,0,5.07E-06
5520,Cog8,0,5.07E-06
5521,Nip7,0,5.07E-06
5522,Terf2,0,5.07E-06
5523,Cyb5b,11,3.02E-05
5524,Nfat5,0,5.07E-06
5525,Nob1,0,5.07E-06
5526,Wwp2,0,5.07E-06
5527,Psmd7,0,5.07E-06
5528,Zfhx3,0,5.07E-06
5529,Dhx38,0,5.07E-06
5530,Hp,81,5.21E-05
5531,Dhodh,0,5.07E-06
5532,Ist1,0,5.07E-06
5533,Zfp821,0,5.07E-06
5534,Atxn1l,0,5.07E-06
5535,Ap1g1,0,5.07E-06
5536,Phlpp2,0,5.07E-06
5537,Vac14,0,5.07E-06
5538,Mtss1l,0,5.07E-06
5539,Sf3b3,0,5.07E-06
5540,Cog4,0,5.07E-06
5541,St3gal2,-10,0
5542,Ddx19a,0,5.07E-06
5543,Ddx19b,0,5.07E-06
5544,Aars,0,5.07E-06
5545,Glg1,0,5.07E-06
5546,Rfwd3,0,5.07E-06
5547,Mlkl,-10,0
5548,Znrf1,0,5.07E-06
5549,Zfp1,0,5.07E-06
5550,Bcar1,0,5.07E-06
5551,Cfdp1,0,5.07E-06
5552,Gabarapl2,0,5.07E-06
5553,Kars,0,5.07E-06
5554,Terf2ip,0,5.07E-06
5555,Gm6793,0,5.07E-06
5556,Nudt7,0,5.07E-06
5557,Wwox,0,5.07E-06
5558,Maf,0,5.07E-06
5559,Cdyl2,0,5.07E-06
5560,Cmc2,0,5.07E-06
5561,Atmin,0,5.07E-06
5562,Gcsh,0,5.07E-06
5563,Gan,0,5.07E-06
5564,Cmip,0,5.07E-06
5565,Plcg2,0,5.07E-06
5566,Mphosph6,0,5.07E-06
5567,Cdh13,-108,0
5568,Hsbp1,0,5.07E-06
5569,Mlycd,0,5.07E-06
5570,Osgin1,0,5.07E-06
5571,Mbtps1,0,5.07E-06
5572,Hsdl1,0,5.07E-06
5573,Taf1c,0,5.07E-06
5574,Wfdc1,0,5.07E-06
5575,Cotl1,0,5.07E-06
5576,Klhl36,0,5.07E-06
5577,Usp10,0,5.07E-06
5578,Crispld2,2,0
5579,Zdhhc7,0,5.07E-06
5580,6430548M08Rik,-2,0
5581,Gse1,0,5.07E-06
5582,Emc8,0,5.07E-06
5583,Cox4i1,25,0
5584,Irf8,0,5.07E-06
5585,Foxf1,-2,-5.42E-05
5586,Mthfsd,0,5.07E-06
5587,Fbxo31,0,5.07E-06
5588,Map1lc3b,125,0
5589,Zcchc14,0,5.07E-06
5590,Klhdc4,0,5.07E-06
5591,Slc7a5,0,5.07E-06
5592,Banp,0,5.07E-06
5593,Zc3h18,0,5.07E-06
5594,Cyba,0,5.07E-06
5595,Mvd,0,5.07E-06
5596,Rnf166,0,5.07E-06
5597,Ctu2,0,5.07E-06
5598,Piezo1,0,5.07E-06
5599,Cdt1,0,5.07E-06
5600,Aprt,0,5.07E-06
5601,Galns,0,5.07E-06
5602,Trappc2l,0,5.07E-06
5603,Cbfa2t3,0,5.07E-06
5604,Acsf3,0,5.07E-06
5605,Ankrd11,0,5.07E-06
5606,Spg7,0,5.07E-06
5607,Rpl13,78,-3.26E-05
5608,Sult5a1,0,5.07E-06
5609,Dpep1,0,5.07E-06
5610,Chmp1a,0,5.07E-06
5611,Cdk10,0,5.07E-06
5612,Vps9d1,0,5.07E-06
5613,Tcf25,0,5.07E-06
5614,Def8,0,5.07E-06
5615,Afg3l1,0,5.07E-06
5616,Gas8,0,5.07E-06
5617,Rab4a,0,5.07E-06
5618,Nup133,0,5.07E-06
5619,Abcb10,0,5.07E-06
5620,Taf5l,0,5.07E-06
5621,Cog2,0,5.07E-06
5622,2310022B05Rik,-2,5.26E-07
5623,Ttc13,0,5.07E-06
5624,2810004N23Rik,0,5.07E-06
5625,Gnpat,0,5.07E-06
5626,Exoc8,0,5.07E-06
5627,Egln1,0,5.07E-06
5628,Tsnax,0,5.07E-06
5629,Sipa1l2,0,5.07E-06
5630,Ntpcr,0,5.07E-06
5631,Coa6,0,5.07E-06
5632,Irf2bp2,0,5.07E-06
5633,Tomm20,0,5.07E-06
5634,Rbm34,0,5.07E-06
5635,Pard3,0,5.07E-06
5636,Nrp1,0,5.07E-06
5637,Itgb1,-108,0
5638,2610044O15Rik8,0,5.07E-06
5639,Flnb,0,5.07E-06
5640,Abhd6,0,5.07E-06
5641,Rpp14,0,5.07E-06
5642,Pxk,0,5.07E-06
5643,Pdhb,0,5.07E-06
5644,Kctd6,0,5.07E-06
5645,Fhit,0,5.07E-06
5646,Ptprg,0,5.07E-06
5647,3830406C13Rik,-2,2.37E-07
5648,Thoc7,0,5.07E-06
5649,Atxn7,0,5.07E-06
5650,Psmd6,0,5.07E-06
5651,Il3ra,0,5.07E-06
5652,Slc4a7,0,5.07E-06
5653,Ngly1,0,5.07E-06
5654,Top2b,0,5.07E-06
5655,Nr1d2,0,5.07E-06
5656,Rpl15,80,2.99E-05
5657,Nkiras1,0,5.07E-06
5658,Ube2e1,0,5.07E-06
5659,Ube2e2,0,5.07E-06
5660,Gng2,0,5.07E-06
5661,Saysd1,0,5.07E-06
5662,Kcnk5,0,5.07E-06
5663,Nudt13,0,5.07E-06
5664,Ecd,0,5.07E-06
5665,Fam149b,0,5.07E-06
5666,Dnajc9,0,5.07E-06
5667,Mrps16,0,5.07E-06
5668,Anxa7,-87,0
5669,Ppp3cb,0,5.07E-06
5670,Usp54,0,5.07E-06
5671,Sec24c,0,5.07E-06
5672,Fut11,0,5.07E-06
5673,Chchd1,0,5.07E-06
5674,Zswim8,0,5.07E-06
5675,Ndst2,0,5.07E-06
5676,Camk2g,0,5.07E-06
5677,Vcl,0,5.07E-06
5678,Ap3m1,0,5.07E-06
5679,Adk,174,0
5680,Kat6b,0,5.07E-06
5681,Samd8,0,5.07E-06
5682,Vdac2,-24,-4.07E-06
5683,Comtd1,0,5.07E-06
5684,Zfp503,0,5.07E-06
5685,Rps24,129,0
5686,Zmiz1,0,5.07E-06
5687,Ppif,0,5.07E-06
5688,Zcchc24,0,5.07E-06
5689,Anxa11,-116,0
5690,Plac9b,0,5.07E-06
5691,Slmap,0,5.07E-06
5692,Dennd6a,0,5.07E-06
5693,Arf4,-4,-6.04E-06
5694,Pde12,0,5.07E-06
5695,Appl1,0,5.07E-06
5696,Il17rd,0,5.07E-06
5697,Arhgef3,0,5.07E-06
5698,Fam208a,0,5.07E-06
5699,Ccdc66,-4,0
5700,Actr8,0,5.07E-06
5701,Cacna1d,0,5.07E-06
5702,Dcp1a,0,5.07E-06
5703,Tkt,141,0
5704,Prkcd,-16,-3.28E-05
5705,Rft1,0,5.07E-06
5706,Sfmbt1,0,5.07E-06
5707,Tmem110,0,5.07E-06
5708,Mustn1,15,0
5709,Itih4,0,5.07E-06
5710,Spcs1,0,5.07E-06
5711,Glt8d1,0,5.07E-06
5712,Gnl3,0,5.07E-06
5713,Pbrm1,0,5.07E-06
5714,Smim4,0,5.07E-06
5715,Nt5dc2,0,5.07E-06
5716,Stab1,1,0
5717,Nisch,0,5.07E-06
5718,Sema3g,-1,0
5719,Phf7,0,5.07E-06
5720,Bap1,0,5.07E-06
5721,Capn7,0,5.07E-06
5722,Sh3bp5,0,5.07E-06
5723,Mettl6,0,5.07E-06
5724,Eaf1,0,5.07E-06
5725,Hacl1,0,5.07E-06
5726,Btd,0,5.07E-06
5727,Galnt15,0,5.07E-06
5728,Dph3,0,5.07E-06
5729,Oxnad1,0,5.07E-06
5730,Ncoa4,0,5.07E-06
5731,Timm23,0,5.07E-06
5732,Parg,0,5.07E-06
5733,Vstm4,0,5.07E-06
5734,Wdfy4,8,0
5735,Mapk8,0,5.07E-06
5736,Gdf10,0,5.07E-06
5737,Anxa8,0,5.07E-06
5738,Glud1,0,5.07E-06
5739,Sncg,-40,0
5740,Mmrn2,0,5.07E-06
5741,Bmpr1a,0,5.07E-06
5742,Wapl,0,5.07E-06
5743,Ccser2,0,5.07E-06
5744,Ghitm,0,5.07E-06
5745,Tspan14,0,5.07E-06
5746,Fam213a,0,5.07E-06
5747,Ear2,-4,3.20E-05
5748,Txndc16,0,5.07E-06
5749,Ero1l,0,5.07E-06
5750,Psmc6,0,5.07E-06
5751,Gnpnat1,0,5.07E-06
5752,Fermt2,23,0
5753,Ddhd1,0,5.07E-06
5754,Bmp4,0,5.07E-06
5755,Cnih1,0,5.07E-06
5756,Gmfb,0,5.07E-06
5757,Cgrrf1,0,5.07E-06
5758,Samd4,-9,0
5759,Gm10371,0,5.07E-06
5760,Gch1,0,5.07E-06
5761,Wdhd1,0,5.07E-06
5762,Socs4,0,5.07E-06
5763,Mapk1ip1l,0,5.07E-06
5764,Lgals3,-64,-5.85E-05
5765,Fbxo34,0,5.07E-06
5766,Atg14,0,5.07E-06
5767,Ktn1,0,5.07E-06
5768,Peli2,0,5.07E-06
5769,Tmem260,0,5.07E-06
5770,Exoc5,0,5.07E-06
5771,Naa30,0,5.07E-06
5772,Ttc5,0,5.07E-06
5773,Parp2,0,5.07E-06
5774,Tep1,0,5.07E-06
5775,Osgep,0,5.07E-06
5776,Apex1,0,5.07E-06
5777,Pnp,0,5.07E-06
5778,Pnp2,0,5.07E-06
5779,Rnase4,93,5.82E-05
5780,Ang,70,0
5781,Rnase6,11,0
5782,Mettl17,0,5.07E-06
5783,Ndrg2,1,9.22E-05
5784,Arhgef40,0,5.07E-06
5785,Zfp219,0,5.07E-06
5786,Hnrnpc,0,5.07E-06
5787,Rpgrip1,0,5.07E-06
5788,Supt16,0,5.07E-06
5789,Chd8,0,5.07E-06
5790,Rab2b,0,5.07E-06
5791,Tox4,0,5.07E-06
5792,Mettl3,0,5.07E-06
5793,Dad1,-2,-8.65E-05
5794,Abhd4,0,5.07E-06
5795,Oxa1l,0,5.07E-06
5796,Slc7a7,0,5.07E-06
5797,Mrpl52,0,-5.96E-05
5798,Mmp14,0,5.07E-06
5799,Lrp10,47,0
5800,Prmt5,0,5.07E-06
5801,Haus4,0,5.07E-06
5802,Ajuba,-72,0
5803,Psmb5,-1,-3.55E-05
5804,Acin1,0,5.07E-06
5805,1700123O20Rik,0,5.07E-06
5806,Bcl2l2,0,5.07E-06
5807,Pabpn1,0,5.07E-06
5808,Slc22a17,0,5.07E-06
5809,Efs,0,5.07E-06
5810,Ngdn,0,5.07E-06
5811,Thtpa,0,5.07E-06
5812,Zfhx2,0,5.07E-06
5813,Ap1g2,0,5.07E-06
5814,Dhrs4,0,5.07E-06
5815,Pck2,0,5.07E-06
5816,Dcaf11,0,5.07E-06
5817,Psme1,78,0
5818,Emc9,0,5.07E-06
5819,Psme2,0,5.07E-06
5820,Rnf31,0,5.07E-06
5821,Irf9,0,5.07E-06
5822,Ipo4,0,5.07E-06
5823,Mdp1,0,5.07E-06
5824,Nedd8,0,5.07E-06
5825,Gmpr2,0,5.07E-06
5826,Tinf2,0,5.07E-06
5827,Rabggta,0,5.07E-06
5828,Dhrs1,0,5.07E-06
5829,Nop9,0,5.07E-06
5830,Ltb4r1,0,5.07E-06
5831,Adcy4,-10,0
5832,Ripk3,0,5.07E-06
5833,Nynrin,0,5.07E-06
5834,Sdr39u1,0,5.07E-06
5835,Gzmb,0,5.07E-06
5836,Parp4,0,5.07E-06
5837,Mphosph8,0,5.07E-06
5838,Pspc1,0,5.07E-06
5839,Zmym5,0,5.07E-06
5840,2410022M11Rik,0,5.07E-06
5841,Zmym2,0,5.07E-06
5842,Cryl1,0,5.07E-06
5843,Ift88,0,5.07E-06
5844,Il17d,0,5.07E-06
5845,Xpo4,0,5.07E-06
5846,Lats2,0,5.07E-06
5847,Sap18,0,5.07E-06
5848,Mrpl57,0,5.07E-06
5849,Zdhhc20,0,5.07E-06
5850,Micu2,0,5.07E-06
5851,Rcbtb1,0,5.07E-06
5852,Phf11b,0,5.07E-06
5853,Phf11d,0,5.07E-06
5854,Setdb2,0,5.07E-06
5855,Cab39l,0,5.07E-06
5856,Cdadc1,0,5.07E-06
5857,Shisa2,0,5.07E-06
5858,Mtmr6,0,5.07E-06
5859,Spata13,0,5.07E-06
5860,Mipep,0,5.07E-06
5861,Sacs,1,0
5862,Ebpl,0,5.07E-06
5863,Kpna3,0,5.07E-06
5864,Spryd7,0,5.07E-06
5865,Trim13,0,5.07E-06
5866,Rnaseh2b,0,5.07E-06
5867,Ints6,0,5.07E-06
5868,Ctsb,-7,0
5869,Fdft1,0,5.07E-06
5870,Blk,-1,0
5871,Pinx1,0,5.07E-06
5872,Sox7,0,5.07E-06
5873,Msra,0,5.07E-06
5874,Hmbox1,0,5.07E-06
5875,Ints9,0,5.07E-06
5876,Extl3,0,5.07E-06
5877,Zfp395,0,5.07E-06
5878,Elp3,0,5.07E-06
5879,Ccdc25,0,5.07E-06
5880,Scara3,0,5.07E-06
5881,Clu,0,5.07E-06
5882,Ptk2b,3,0
5883,Trim35,0,5.07E-06
5884,Dpysl2,22,0
5885,Bnip3l,-6,-1.11E-05
5886,Ppp2r2a,0,5.07E-06
5887,Kctd9,0,5.07E-06
5888,Dock5,0,5.07E-06
5889,Slc25a37,1,0
5890,Loxl2,0,5.07E-06
5891,R3hcc1,0,5.07E-06
5892,Chmp7,0,5.07E-06
5893,Tnfrsf10b,-1,0
5894,Bin3,0,5.07E-06
5895,Ccar2,0,5.07E-06
5896,Pdlim2,-47,1.75E-05
5897,Sorbs3,0,5.07E-06
5898,Ppp3cc,0,5.07E-06
5899,Slc39a14,0,5.07E-06
5900,Polr3d,0,5.07E-06
5901,Bmp1,0,5.07E-06
5902,Sftpc,73,0
5903,Reep4,0,5.07E-06
5904,Nudt18,0,5.07E-06
5905,Fam160b2,0,5.07E-06
5906,Dmtn,0,5.07E-06
5907,Xpo7,0,5.07E-06
5908,Dok2,0,5.07E-06
5909,Gfra2,5,0
5910,Fndc3a,0,5.07E-06
5911,Rcbtb2,0,5.07E-06
5912,Rb1,0,5.07E-06
5913,Lpar6,0,5.07E-06
5914,Itm2b,-150,0
5915,Med4,0,5.07E-06
5916,Sucla2,0,5.07E-06
5917,Esd,0,5.07E-06
5918,Lrch1,0,5.07E-06
5919,Lcp1,-21,-6.04E-05
5920,Zc3h13,0,5.07E-06
5921,Cog3,0,5.07E-06
5922,Tpt1,123,0
5923,Gtf2f2,0,5.07E-06
5924,Gpalpp1,0,5.07E-06
5925,Nufip1,0,5.07E-06
5926,Tsc22d1,3,1.27E-05
5927,Lacc1,0,5.07E-06
5928,Ccdc122,0,5.07E-06
5929,Dnajc15,0,5.07E-06
5930,Epsti1,0,5.07E-06
5931,Akap11,0,5.07E-06
5932,Vwa8,0,5.07E-06
5933,Rgcc,-127,0
5934,Naa16,0,5.07E-06
5935,Kbtbd7,0,5.07E-06
5936,Wbp4,0,5.07E-06
5937,Elf1,0,5.07E-06
5938,Sugt1,0,5.07E-06
5939,Pcdh17,-40,0
5940,Tdrd3,0,5.07E-06
5941,Dach1,-7,0
5942,Mzt1,0,5.07E-06
5943,Pibf1,0,5.07E-06
5944,Klf5,0,5.07E-06
5945,Tbc1d4,0,5.07E-06
5946,Commd6,0,5.07E-06
5947,Uchl3,0,5.07E-06
5948,Lmo7,-52,0
5949,Kctd12,0,5.07E-06
5950,Cln5,0,5.07E-06
5951,Fbxl3,0,5.07E-06
5952,Mycbp2,0,5.07E-06
5953,Slain1,0,5.07E-06
5954,Ednrb,0,5.07E-06
5955,Rbm26,0,5.07E-06
