,genes,degree,pagerank
435,Sell,-1,-2.61E-05
436,Ccdc181,0,5.07E-06
437,Blzf1,0,5.07E-06
438,Nme7,0,5.07E-06
439,Atp1b1,29,0
440,Dpt,-4,0
441,Sft2d2,0,5.07E-06
442,Tiprl,0,5.07E-06
443,Dcaf6,0,5.07E-06
444,Mpc2,9,2.62E-05
445,Mpzl1,0,5.07E-06
446,Rcsd1,0,5.07E-06
447,Creg1,0,5.07E-06
448,Cd247,19,0
449,Pou2f1,0,5.07E-06
450,Tada1,0,5.07E-06
451,Pogk,0,5.07E-06
452,Uck2,0,5.07E-06
453,Tmco1,-6,-8.36E-06
454,Aldh9a1,0,5.07E-06
455,Mgst3,44,0
456,Pbx1,0,5.07E-06
457,Rgs4,3,0
458,Hsd17b7,0,5.07E-06
459,Ddr2,33,8.51E-05
460,Uap1,0,5.07E-06
461,Uhmk1,0,5.07E-06
462,Sh2d1b1,4,0
463,Nos1ap,0,5.07E-06
464,Olfml2b,-1,0
465,Atf6,0,5.07E-06
466,Dusp12,0,5.07E-06
467,Fcrla,1,0
468,Fcgr2b,1,0
469,Fcgr4,2,-1.93E-06
470,Fcgr3,0,5.07E-06
471,Sdhc,-18,-5.00E-05
472,Pcp4l1,0,5.07E-06
473,Tomm40l,0,5.07E-06
474,Fcer1g,-11,0
475,Ndufs2,-1,1.23E-06
476,B4galt3,0,5.07E-06
477,Ppox,0,5.07E-06
478,Usp21,0,5.07E-06
479,Ufc1,0,5.07E-06
480,Dedd,0,5.07E-06
481,Nit1,0,5.07E-06
482,Pfdn2,-1,1.25E-06
483,Arhgap30,-19,0
484,Usf1,0,5.07E-06
485,F11r,-67,-3.23E-05
486,Alyref2,0,5.07E-06
487,Ly9,0,5.07E-06
488,Slamf7,1,0
489,Cd48,14,0
490,Slamf1,-12,0
491,Cd84,0,2.10E-05
492,Slamf6,0,5.07E-06
493,Vangl2,0,5.07E-06
494,Ncstn,0,5.07E-06
495,Copa,0,5.07E-06
496,Pex19,0,5.07E-06
497,Dcaf8,0,5.07E-06
498,Pea15a,0,5.07E-06
499,Igsf8,0,5.07E-06
500,Atp1a2,1,0
501,Pigm,0,5.07E-06
502,Slamf9,-19,0
503,Tagln2,-4,0
504,Dusp23,0,5.07E-06
505,Aim2,0,5.07E-06
506,Ifi204,6,0
507,Mndal,0,5.07E-06
508,Ifi203,0,5.07E-06
509,Ifi205,0,5.07E-06
510,Fh1,0,5.07E-06
511,Cep170,2,0
512,Sdccag8,0,5.07E-06
513,Akt3,0,5.07E-06
514,Zbtb18,0,5.07E-06
515,Adss,0,5.07E-06
516,Desi2,0,5.07E-06
517,Cox20,0,5.07E-06
518,Hnrnpu,0,5.07E-06
519,Smyd3,0,5.07E-06
520,Tfb2m,0,5.07E-06
521,Cnst,0,5.07E-06
522,Sccpdh,0,5.07E-06
523,Ahctf1,0,5.07E-06
524,Cdc42bpa,0,5.07E-06
525,Psen2,0,5.07E-06
526,Itpkb,0,5.07E-06
527,Parp1,0,5.07E-06
528,Acbd3,0,5.07E-06
529,H3f3a,-7,0
530,Sde2,0,5.07E-06
531,Pycr2,0,5.07E-06
532,Tmem63a,0,5.07E-06
533,Ephx1,0,5.07E-06
534,Nvl,0,5.07E-06
535,Cnih4,0,5.07E-06
536,Wdr26,0,5.07E-06
537,Lbr,0,5.07E-06
538,Enah,-1,0
539,Srp9,0,5.07E-06
540,Degs1,0,5.07E-06
541,Fbxo28,0,5.07E-06
542,Trp53bp2,68,0
543,Capn2,-90,0
544,Brox,0,5.07E-06
545,Aida,0,5.07E-06
546,Mia3,0,5.07E-06
547,Dusp10,0,5.07E-06
548,Hlx,0,5.07E-06
549,C130074G19Rik,0,5.07E-06
550,Rab3gap2,0,5.07E-06
551,Iars2,0,5.07E-06
552,Bpnt1,0,5.07E-06
553,Eprs,0,5.07E-06
554,Lyplal1,0,5.07E-06
555,Tgfb2,30,0
556,Rrp15,0,5.07E-06
557,Gpatch2,0,5.07E-06
558,Kctd3,0,5.07E-06
559,Kcnk2,0,5.07E-06
560,Ptpn14,-2,-3.37E-05
561,Smyd2,0,5.07E-06
562,Angel2,0,5.07E-06
563,Tatdn3,0,5.07E-06
564,Batf3,0,5.07E-06
565,Fam71a,0,5.07E-06
566,Atf3,0,5.07E-06
567,D730003I15Rik,0,5.07E-06
568,Nenf,13,-5.09E-05
569,Tmem206,0,5.07E-06
570,Ppp2r5a,0,5.07E-06
571,Ints7,0,5.07E-06
572,Lpgat1,0,5.07E-06
573,Slc30a1,0,5.07E-06
574,Traf5,0,5.07E-06
575,Rcor3,0,5.07E-06
576,A130010J15Rik,0,5.07E-06
577,Traf3ip3,0,5.07E-06
578,Lamb3,-146,0
579,Hsd11b1,0,5.07E-06
580,G0s2,0,5.07E-06
581,Plxna2,0,5.07E-06
582,Cd34,0,5.07E-06
583,Cr1l,0,5.07E-06
584,Fam171a1,3,0
585,Nmt2,0,5.07E-06
586,Hspa14,0,5.07E-06
587,Fam107b,0,5.07E-06
588,Frmd4a,0,5.07E-06
589,Prpf18,0,5.07E-06
590,Bend7,0,5.07E-06
591,Sephs1,0,5.07E-06
592,Phyh,-3,-2.45E-06
593,Optn,0,5.07E-06
594,Camk1d,0,5.07E-06
595,Cdc123,0,5.07E-06
596,Nudt5,0,5.07E-06
597,Sec61a2,0,5.07E-06
598,Upf2,0,5.07E-06
599,Usp6nl,0,5.07E-06
600,Celf2,-57,-6.28E-05
601,Gata3,-9,2.20E-05
602,Taf3,0,5.07E-06
603,Atp5c1,0,5.07E-06
604,Kin,0,5.07E-06
605,Itih5,0,5.07E-06
606,Prkcq,-3,0
607,Pfkfb3,0,5.07E-06
608,Rbm17,0,5.07E-06
609,Il15ra,0,5.07E-06
610,Ankrd16,0,5.07E-06
611,Itga8,12,0
612,Rsu1,5,3.14E-05
613,Trdmt1,0,5.07E-06
614,Vim,-25,0
615,Hacd1,0,5.07E-06
616,Stam,0,5.07E-06
617,Mrc1,2,3.29E-05
618,Cacnb2,15,0
619,Nsun6,0,5.07E-06
620,Arl5b,0,5.07E-06
621,Plxdc2,-11,0
622,Nebl,1,8.89E-05
623,Mllt10,0,5.07E-06
624,Dnajc1,0,5.07E-06
625,Commd3,0,5.07E-06
626,Bmi1,0,5.07E-06
627,Pip4k2a,0,5.07E-06
628,Msrb2,0,5.07E-06
629,Otud1,-242,0
630,Etl4,0,5.07E-06
631,Arhgap21,0,5.07E-06
632,Enkur,0,5.07E-06
633,Apbb1ip,6,0
634,Abi1,0,5.07E-06
635,Acbd5,0,5.07E-06
636,Mastl,0,5.07E-06
637,Yme1l1,0,5.07E-06
638,Spopl,0,5.07E-06
639,Hnmt,0,5.07E-06
640,Il1rn,-10,0
641,Psd4,0,5.07E-06
642,Ehmt1,0,5.07E-06
643,Arrdc1,0,5.07E-06
644,Dph7,0,5.07E-06
645,Mrpl41,0,5.07E-06
646,Pnpla7,-3,0
647,Nsmf,0,5.07E-06
648,Nrarp,0,5.07E-06
649,Tor4a,0,5.07E-06
650,Nelfb,0,5.07E-06
651,Tubb4b,0,5.07E-06
652,Ndor1,0,5.07E-06
653,Tmem203,0,5.07E-06
654,Tprn,0,5.07E-06
655,Ssna1,0,5.07E-06
656,Anapc2,0,5.07E-06
657,Man1b1,0,5.07E-06
658,Dpp7,0,5.07E-06
659,Uap1l1,0,5.07E-06
660,Entpd2,0,5.07E-06
661,Npdc1,0,5.07E-06
662,Abca2,0,5.07E-06
663,Clic3,-104,-3.80E-06
664,Fbxw5,0,5.07E-06
665,Traf2,0,5.07E-06
666,Edf1,0,5.07E-06
667,Phpt1,0,5.07E-06
668,Rabl6,0,5.07E-06
669,Tmem141,0,5.07E-06
670,Bmyc,0,5.07E-06
671,Camsap1,0,5.07E-06
672,Ubac1,0,5.07E-06
673,Nacc2,0,5.07E-06
674,Qsox2,0,5.07E-06
675,Gpsm1,0,5.07E-06
676,Dnlz,0,5.07E-06
677,Pmpca,0,5.07E-06
678,Inpp5e,0,5.07E-06
679,Sec16a,0,5.07E-06
680,Notch1,0,5.07E-06
681,Egfl7,0,5.07E-06
682,Agpat2,0,5.07E-06
683,Fam69b,0,5.07E-06
684,Surf6,0,5.07E-06
685,Med22,0,5.07E-06
686,Rpl7a,51,-5.78E-05
687,Surf1,0,5.07E-06
688,Surf2,0,5.07E-06
689,Surf4,0,5.07E-06
690,Rexo4,0,5.07E-06
691,Cacfd1,0,5.07E-06
692,Slc2a6,14,2.90E-06
693,Adamtsl2,1,0
694,Vav2,0,5.07E-06
695,Brd3,0,5.07E-06
696,Wdr5,0,5.07E-06
697,Rxra,0,5.07E-06
698,Col5a1,10,0
699,Olfm1,0,5.07E-06
700,Ralgds,0,5.07E-06
701,Tsc1,0,5.07E-06
702,Gtf3c4,0,5.07E-06
703,Ttf1,0,5.07E-06
704,Setx,0,5.07E-06
705,Med27,0,5.07E-06
706,Rapgef1,0,5.07E-06
707,Trub2,0,5.07E-06
708,Coq4,0,5.07E-06
709,Slc27a4,0,5.07E-06
710,Urm1,0,5.07E-06
711,Cercam,-2,0
712,Odf2,0,5.07E-06
713,Gle1,0,5.07E-06
714,Sptan1,-111,0
715,Wdr34,0,5.07E-06
716,Set,0,5.07E-06
717,Pkn3,1,0
718,Zdhhc12,0,5.07E-06
719,Zer1,0,5.07E-06
720,Tbc1d13,0,5.07E-06
721,Endog,0,5.07E-06
722,Lrrc8a,0,5.07E-06
723,Dolk,0,5.07E-06
724,Sh3glb2,0,5.07E-06
725,Crat,0,5.07E-06
726,Ier5l,0,5.07E-06
727,Ntmt1,0,5.07E-06
728,Asb6,0,5.07E-06
729,Ptges,0,5.07E-06
730,Tor1b,0,5.07E-06
731,Tor1a,0,5.07E-06
732,BC005624,0,5.07E-06
733,Usp20,0,5.07E-06
734,Fnbp1,0,5.07E-06
735,Gpr107,0,5.07E-06
736,Ass1,0,5.07E-06
737,Fubp3,0,5.07E-06
738,Exosc2,-1,0
739,Abl1,0,5.07E-06
740,Nup214,0,5.07E-06
741,Prrc2b,0,5.07E-06
742,Pomt1,0,5.07E-06
743,Uck1,0,5.07E-06
744,Swi5,25,-1.83E-05
745,Golga2,0,5.07E-06
746,Dnm1,0,5.07E-06
747,Ciz1,0,5.07E-06
748,1110008P14Rik,0,5.07E-06
749,Lcn2,3,1.26E-05
750,Ptges2,0,5.07E-06
751,Slc25a25,0,5.07E-06
752,Fam102a,0,5.07E-06
753,Dpm2,0,5.07E-06
754,St6galnac4,0,5.07E-06
755,St6galnac6,0,5.07E-06
756,Ak1,0,5.07E-06
757,Eng,0,5.07E-06
758,Fpgs,0,5.07E-06
759,Cdk9,0,5.07E-06
760,Sh2d3c,0,5.07E-06
761,Tor2a,0,5.07E-06
762,Stxbp1,0,5.07E-06
763,Fam129b,0,5.07E-06
764,Rpl12,205,0
765,Slc2a8,0,5.07E-06
766,Garnl3,0,5.07E-06
767,Angptl2,0,5.07E-06
768,Zbtb43,0,5.07E-06
769,Mvb12b,0,5.07E-06
770,Pbx3,0,5.07E-06
771,Mapkap1,0,5.07E-06
772,Gapvd1,0,5.07E-06
773,Hspa5,20,4.84E-05
774,Rabepk,0,5.07E-06
